"","artist","on_board"
"307","Every Father's Teenage Son",1
"308","Every Mothers' Son",4
"309","Everything Is Everything",1
"310","Evie Sands",1
"311","Eydie Gorme",3
"312","Fantastic Four",3
"313","Fats Domino",5
"314","Felice Taylor",1
"315","Ferrante & Teicher",1
"316","Fever Tree",1
"317","Five By Five",1
"318","Five Stairsteps & Cubie",4
"319","Flatt & Scruggs",1
"320","Flavor",1
"321","Flip Cartridge",1
"322","Fontella Bass",4
"323","Fontella Bass & Bobby McClure",2
"324","Four Jacks And A Jill",2
"325","Four Tops",21
"326","Frank Gallop",1
"327","Frank Ifield",1
"328","Frank Sinatra",19
"329","Frankie Karl & The Dreams",1
"330","Frankie Laine",8
"331","Frankie Valli",6
"332","Fred Hughes",2
"333","Freddie And The Dreamers",5
"334","Freddie Hughes",1
"335","Freddie McCoy",1
"336","Freddie Scott",4
"337","Freddy Cannon",3
"338","Freddy Scott",1
"339","Friend And Lover",2
"340","Funkadelic",1
"341","G.L. Crockett",1
"342","Gale Garnett",2
"343","Garland Green",1
"344","Garnet Mimms",5
"345","Garnet Mimms & The Enchanters",3
"346","Gary And The Hornets",1
"347","Gary Lewis And The Playboys",15
"348","Gary Puckett And The Union Gap",4
"349","Gene And Debbe",3
"350","Gene Chandler",14
"351","Gene Chandler & Barbara Acklin",1
"352","Gene Pitney",13
"353","Gene Simmons",1
"354","Gene Thomas",1
"355","George & Gene",1
"356","George Jones",1
"357","George Martin And His Orch.",1
"358","George Torrence & The Naturals",1
"359","Georgie Fame",1
"360","Georgie Fame And The Blue Flames",3
"361","Gerry And The Pacemakers",11
"362","Ginny Arnell",1
"363","Gladys Knight And The Pips",11
"364","Glen Campbell",11
"365","Glen Campbell & Bobbie Gentry",1
"366","Glenn Yarbrough",2
"367","Gloria Lynne",5
"368","Gloria Taylor",1
"369","Gloria Walker",1
"370","Gloria Walker/Chevelles",1
"371","Googie Rene Combo",1
"372","Grand Funk Railroad",2
"373","Grapefruit",1
"374","Groove Holmes",2
"375","Guy Marks",1
"376","Hamilton Camp",1
"377","Hank Jacobs",1
"378","Hank Williams Jr.",2
"379","Harlow Wilcox and the Oakies",1
"380","Harold Betters",1
"381","Harpers Bizarre",5
"382","Harvey Scales",1
"383","Hedgehoppers Anonymous",1
"384","Helena Ferguson",1
"385","Henry Mancini And His Orchestra",6
"386","Henson Cargill",1
"387","Herb Alpert",3
"388","Herb Alpert & The Tijuana Brass",17
"389","Herb Alpert's Tijuana Brass",3
"390","Herbie Mann",5
"391","Herman's Hermits",19
"392","Horst Jankowski",2
"393","Howard Tate",3
"394","Hugh Masekela",4
"395","Hugo Montenegro, His Orchestra And Chorus",2
"396","Ian Whitcomb",1
"397","Ian Whitcomb And Bluesville",2
"398","Ike & Tina Turner",5
"399","Ike & Tina Turner Featuring Tina",1
"400","Inez & Charlie Foxx",1
"401","Inez Foxx",2
"402","Irma Thomas",4
"403","Iron Butterfly",3
"404","Isaac Hayes",2
"405","J. Frank Wilson and The Cavaliers",2
"406","J.J. Barnes",2
"407","J.J. Jackson",2
"408","Jack Greene",1
"409","Jack Jones",17
"410","Jack Laforge His Piano and Orchestra",1
"411","Jackie DeShannon",8
"412","Jackie Lee",1
"413","Jackie Ross",3
"414","Jackie Wilson",13
"415","Jackie Wilson & Count Basie",2
"416","Jackie Wilson And LaVern Baker",1
"417","Jackson 5",1
"418","James & Bobby Purify",8
"419","James Brown",12
"420","James Brown And His Orchestra",3
"421","James Brown And The Famous Flames",22
"422","James Brown At The Organ",1
"423","James Carr",6
"424","James Darren",1
"425","James Phelps",1
"426","Jamo Thomas & His Party Brothers Orchestra",1
"427","Jan & Dean",13
"428","Jan Bradley",1
"429","Jane Birkin  Serge Gainsbourg",1
"430","Janis Ian",1
"431","Janis Joplin",1
"432","Jay & The Americans",15
"433","Jay And The Techniques",4
"434","Jean & The Darlings",1
"435","Jeannie C. Riley",3
"436","Jeannie Seely",1
"437","Jefferson",2
"438","Jefferson Airplane",7
"439","Jerry Butler",16
"440","Jerry Jaye",1
"441","Jerry Jeff Walker",1
"442","Jerry Lee Lewis",4
"443","Jerry Smith and his Pianos",1
"444","Jerry Vale",5
"445","Jerry Wallace",2
"446","Jerryo",1
"447","Jesse James",1
"448","Jewel Akens",2
"449","Jim & Jean",1
"450","Jim and Monica",1
"451","Jim Reeves",7
"452","Jimi Hendrix",1
"453","Jimmie Rodgers",3
"454","Jimmy Castor",1
"455","Jimmy Clanton",1
"456","Jimmy Cliff",1
"457","Jimmy Cross",1
"458","Jimmy Dean",1
"459","Jimmy Delphs",1
"460","Jimmy Gilmer And The Fireballs",2
"461","Jimmy Holiday",1
"462","Jimmy Hughes",4
"463","Jimmy James & The Vagabonds",1
"464","Jimmy McCracklin",3
"465","Jimmy McGriff",2
"466","Jimmy Roselli",1
"467","Jimmy Ruffin",5
"468","Jimmy Smith",5
"469","Jimmy Smith With Kenny Burrell And Grady Tate",1
"470","Jimmy Velvet",2
"471","Jimmy Witherspoon",1
"472","Jo Ann & Troy",1
"473","Joan Baez",2
"474","Jody Miller",4
"475","Joe Cocker",4
"476","Joe Hinton",1
"477","Joe Simon",12
"478","Joe South",2
"479","Joe South and The Believers",1
"480","Joe Tex",24
"481","Joey Powers",1
"482","John & Anne Ryder",1
"483","John Barry and His Orchestra",1
"484","John Fred And The Playboys",2
"485","John Gary",1
"486","John Mayall",1
"487","John Roberts",1
"488","John Sebastian",1
"489","John Stewart",1
"490","John W. Anderson presents KaSandra",1
"491","John Wesley Ryles, I",1
"492","Johnnie Taylor",6
"493","Johnny Adams",3
"494","Johnny and The Expressions",1
"495","Johnny Bond",1
"496","Johnny Cash",12
"497","Johnny Crawford",1
"498","Johnny Lytle",1
"499","Johnny Mathis",6
"500","Johnny Nash",4
"501","Johnny Rivers",19
"502","Johnny Sea",1
"503","Johnny Thunder",1
"504","Johnny Thunder & Ruby Winters",1
"505","Johnny Tillotson",9
"506","Jon & Robin",1
"507","Jon & Robin And The In Crowd",2
"508","Jonathan King",2
"509","Jose Feliciano",8
"510","Jr. Walker & The All Stars",15
"511","Judy Clay & William Bell",1
"512","Judy Collins",5
"513","Julie Andrews-Dick Van Dyke",1
"514","Julie Monday",1
"515","Julie Rogers",2
"516","Jumpin' Gene Simmons",1
"517","Just Us",1
"518","Justine Washington",1
"519","Kasenetz-Katz Singing Orchestral Circus",1
"520","Kathy Kirby",1
"521","Keith",4
"522","Keith Barbour",1
"523","Kenny O'Dell",2
"524","Kenny Rogers & The First Edition",2
"525","Kim Weston",3
"526","King Curtis",4
"527","King Curtis & The Kingpins",6
"528","Ko Ko Taylor",1
"529","Kool & The Gang",2
"530","Lalo Schifrin",1
"531","Larry Williams & Johnny Watson",1
"532","Laura Lee",3
"533","LaVern Baker",1
"534","Lawrence Reynolds",1
"535","Lawrence Welk And His Orchestra",2
"536","Leapy Lee",1
"537","Led Zeppelin",2
"538","Lee Dorsey",7
"539","Lee Morgan",1
"540","Lefty Frizzell",1
"541","Lemon Pipers",1
"542","Len Barry",6
"543","Lenny O'Henry",1
"544","Lenny Welch",6
"545","Leon Hayward",1
"546","Leon Haywood",2
"547","Leroy Pullins",1
"548","Lesley Gore",17
"549","Linda Jones",3
"550","Linda Ronstadt & The Stone Poneys",1
"551","Linda Scott",1
"552","Little Anthony And The Imperials",9
"553","Little Caesar And The Consuls",1
"554","Little Carl Carlton",1
"555","Little Jimmy Dickens",1
"556","Little Johnny Taylor",1
"557","Little Jr. Parker",1
"558","Little Milton",7
"559","Little Peggy March",1
"560","Little Richard",2
"561","Little Stevie Wonder",1
"562","Liverpool Five",1
"563","Lloyd Price",1
"564","Long John Baldry",1
"565","Lonnie Mack",1
"566","Lorne Greene",2
"567","Lorraine Ellison",2
"568","Los Bravos",3
"569","Los Indios Tabajaras",1
"570","Los Pop Tops",1
"571","Lou Christie",8
"572","Lou Courtney",2
"573","Lou Donaldson",1
"574","Lou Johnson",2
"575","Lou Rawls",9
"576","Louis Armstrong",2
"577","Louis Armstrong And The All Stars",2
"578","Love",2
"579","Lowell Fulsom",3
"580","Lucille Starr",1
"581","Lulu",5
"582","Lulu And The Luvers",1
"583","Lyme & Cybelle",1
"584","Mable John",1
