,artist,rank,song,stay,week
15145,Chris Montez,46,Time After Time,8,1966-11-26
15146,The Righteous Brothers,47,On This Side Of Goodbye,6,1966-11-26
15147,The Happenings,48,Go Away Little Girl,9,1966-11-26
15148,The Dave Clark Five,49,Nineteen Days,6,1966-11-26
15149,The Outsiders,50,Help Me Girl,10,1966-11-26
15150,The Arbors,51,A Symphony For Susan,10,1966-11-26
15151,The Elgins,52,Heaven Must Have Sent You,8,1966-11-26
15152,Pat Boone,53,"Wish You Were Here, Buddy",8,1966-11-26
15153,The Standells,54,Why Pick On Me,7,1966-11-26
15154,Darrell Banks,55,Somebody (Somewhere) Needs You,8,1966-11-26
15155,Tommy James And The Shondells,56,It's Only Love,9,1966-11-26
15156,Eddie Fisher,57,Games That Lovers Play,9,1966-11-26
15157,The Music Machine,58,Talk Talk,12,1966-11-26
15158,Al Martino,59,The Wheel Of Hurt,8,1966-11-26
15159,Elvis Presley With The Jordanaires,60,All That I Am,8,1966-11-26
15160,The Five Stairsteps,61,Come Back,6,1966-11-26
15161,Nancy Sinatra,62,Sugar Town,13,1966-11-26
15162,The Joe Cuba Sextet,63,Bang Bang,8,1966-11-26
15163,Jack Jones,64,A Day In The Life Of A Fool,8,1966-11-26
15164,Lorraine Ellison,65,Stay With Me,8,1966-11-26
15165,Wilson Pickett,66,Mustang Sally,9,1966-11-26
15166,The Capitols,67,We Got A Thing That's In The Groove,6,1966-11-26
15167,Ray Charles and his Orchestra,68,Please Say You're Fooling,6,1966-11-26
15168,Sandy Posey,69,Single Girl,12,1966-11-26
15169,Frankie Valli,70,The Proud One,6,1966-11-26
15170,? (Question Mark) & The Mysterians,71,I Need Somebody,10,1966-11-26
15171,Dana Rollin,72,Winchester Cathedral,6,1966-11-26
15172,Bobby Vinton,73,Coming Home Soldier,12,1966-11-26
15173,Jr. Walker & The All Stars,74,Money (That's What I Want) (Part 1),6,1966-11-26
15174,B.B. King,75,Don't Answer The Door - Part 1,9,1966-11-26
15175,Barbara Lewis,76,Baby What Do You Want Me To Do,6,1966-11-26
15176,The Association,77,Pandora's Golden Heebie Jeebies,7,1966-11-26
15177,Gene Chandler,78,I Fooled You This Time,8,1966-11-26
15178,Terry Knight and The Pack,79,I (Who Have Nothing),10,1966-11-26
15179,Ray Charles and his Orchestra,80,I Don't Need No Doctor,4,1966-11-26
15180,Alvin Cash & The Registers,81,Alvin's Boo-Ga-Loo,6,1966-11-26
15181,Baja Marimba Band,82,Ghost Riders In The Sky,6,1966-11-26
15182,Walter Jackson,83,A Corner In The Sun,4,1966-11-26
15183,Roger Miller,84,Heartbreak Hotel,4,1966-11-26
15184,Dr. West's Medicine Show and Junk Band,85,The Eggplant That Ate Chicago,7,1966-11-26
15185,Wayne Newton,86,Games That Lovers Play,6,1966-11-26
15186,Sonny & Cher,87,Living For You,2,1966-11-26
15187,Lou Rawls,88,You Can Bring Me All Your Heartaches,8,1966-11-26
15188,The Turtles,89,Can I Get To Know You Better,5,1966-11-26
15189,The Cryan' Shames,90,I Wanna Meet You,4,1966-11-26
15190,Eric Burdon & The Animals,91,Help Me Girl,9,1966-11-26
15191,The Rationals,92,Respect,3,1966-11-26
15192,Don Ho and the Aliis,93,Tiny Bubbles,17,1966-11-26
15193,Dee Dee Warwick,94,I'm Gonna Make You Love Me,3,1966-11-26
15194,Jay & The Americans,95,(He's) Raining In My Sunshine,4,1966-11-26
15195,Gary And The Hornets,96,Hi Hi Hazel,2,1966-11-26
15196,Cher,97,Behind The Door,1,1966-11-26
15197,The Searchers,98,Have You Ever Loved Somebody,3,1966-11-26
15198,The Yardbirds,99,Happenings Ten Years Time Ago,9,1966-11-26
15199,Ronnie Dove,100,Cry,9,1966-11-26
15200,The New Vaudeville Band,1,Winchester Cathedral,15,1966-12-03
15201,The Beach Boys,2,Good Vibrations,14,1966-12-03
15202,The Supremes,3,You Keep Me Hangin' On,12,1966-12-03
15203,Mitch Ryder And The Detroit Wheels,4,Devil With A Blue Dress On & Good Golly Miss Molly,16,1966-12-03
15204,Donovan,5,Mellow Yellow,12,1966-12-03
15205,James & Bobby Purify,6,I'm Your Puppet,14,1966-12-03
15206,Peter And Gordon,7,Lady Godiva,14,1966-12-03
15207,Roger Williams,8,Born Free,21,1966-12-03
15208,Johnny Rivers,9,Poor Side Of Town,15,1966-12-03
15209,The Monkees,10,Last Train To Clarksville,15,1966-12-03
15210,Brenda Lee,11,Coming On Strong,13,1966-12-03
15211,Martha & The Vandellas,12,I'm Ready For Love,10,1966-12-03
15212,The Hollies,13,Stop Stop Stop,10,1966-12-03
15213,Simon & Garfunkel,14,A Hazy Shade Of Winter,9,1966-12-03
15214,Frank Sinatra,15,That's Life,11,1966-12-03
15215,Jackie Wilson,16,Whispers (Gettin' Louder),12,1966-12-03
15216,Neil Diamond,17,I Got The Feelin' (Oh No No),8,1966-12-03
15217,? (Question Mark) & The Mysterians,18,96 Tears,15,1966-12-03
15218,The Lovin' Spoonful,19,Rain On The Roof,10,1966-12-03
15219,The Miracles,20,(Come 'Round Here) I'm The One You Need,9,1966-12-03
15220,Tommy Roe,21,Hooray For Hazel,13,1966-12-03
15221,Percy Sledge,22,It Tears Me Up,11,1966-12-03
15222,Stevie Wonder,23,A Place In The Sun,11,1966-12-03
15223,Petula Clark,24,Who Am I,7,1966-12-03
15224,Jimmy Ruffin,25,What Becomes Of The Brokenhearted,17,1966-12-03
15225,Margaret Whiting,26,The Wheel Of Hurt,11,1966-12-03
15226,J.J. Jackson,27,But It's Alright,23,1966-12-03
15227,Brian Hyland,28,"Run, Run, Look And See",9,1966-12-03
15228,Eddie Floyd,29,Knock On Wood,17,1966-12-03
15229,Lou Rawls,30,Love Is A Hurtin' Thing,14,1966-12-03
15230,Herb Alpert & The Tijuana Brass,31,Mame,8,1966-12-03
15231,The Temptations,32,(I Know) I'm Losing You,10,1966-12-03
15232,Bobby Darin,33,If I Were A Carpenter,11,1966-12-03
15233,Lee Dorsey,34,Holy Cow,9,1966-12-03
15234,The Sandpipers,35,"Louie, Louie",7,1966-12-03
15235,Chris Montez,36,Time After Time,8,1966-12-03
15236,The Chicago Loop,37,(When She Needs Good Lovin') She Comes To Me,7,1966-12-03
15237,Four Tops,38,Reach Out I'll Be There,15,1966-12-03
15238,Herman's Hermits,39,Dandy,11,1966-12-03
15239,Billy Stewart,40,Secret Love,8,1966-12-03
15240,The Mamas & The Papas,41,Look Through My Window,7,1966-12-03
15241,Tommy James And The Shondells,42,It's Only Love,9,1966-12-03
15242,The Left Banke,43,Walk Away Renee,13,1966-12-03
15243,Nancy Sinatra,44,Sugar Town,13,1966-12-03
15244,Carla Thomas,45,B-A-B-Y,16,1966-12-03
15245,Eddie Fisher,46,Games That Lovers Play,9,1966-12-03
15246,The Music Machine,47,Talk Talk,12,1966-12-03
15247,The Outsiders,48,Help Me Girl,10,1966-12-03
15248,Pat Boone,49,"Wish You Were Here, Buddy",8,1966-12-03
15249,The Elgins,50,Heaven Must Have Sent You,8,1966-12-03
15250,The Arbors,51,A Symphony For Susan,10,1966-12-03
15251,Wilson Pickett,52,Mustang Sally,9,1966-12-03
15252,Sandy Posey,53,Single Girl,12,1966-12-03
15253,The Righteous Brothers,54,On This Side Of Goodbye,6,1966-12-03
15254,Bobby Vinton,55,Coming Home Soldier,12,1966-12-03
15255,? (Question Mark) & The Mysterians,56,I Need Somebody,10,1966-12-03
15256,Ronnie Dove,57,Cry,9,1966-12-03
15257,The Association,58,Pandora's Golden Heebie Jeebies,7,1966-12-03
15258,The Standells,59,Why Pick On Me,7,1966-12-03
15259,Jr. Walker & The All Stars,60,Money (That's What I Want) (Part 1),6,1966-12-03
15260,Terry Knight and The Pack,61,I (Who Have Nothing),10,1966-12-03
15261,Jack Jones,62,A Day In The Life Of A Fool,8,1966-12-03
15262,The Joe Cuba Sextet,63,Bang Bang,8,1966-12-03
15263,Darrell Banks,64,Somebody (Somewhere) Needs You,8,1966-12-03
15264,The Capitols,65,We Got A Thing That's In The Groove,6,1966-12-03
15265,Ray Charles and his Orchestra,66,Please Say You're Fooling,6,1966-12-03
15266,Gene Chandler,67,I Fooled You This Time,8,1966-12-03
15267,Frankie Valli,68,The Proud One,6,1966-12-03
15268,The Five Stairsteps,69,Come Back,6,1966-12-03
15269,Dr. West's Medicine Show and Junk Band,70,The Eggplant That Ate Chicago,7,1966-12-03
15270,Dana Rollin,71,Winchester Cathedral,6,1966-12-03
15271,Al Martino,72,The Wheel Of Hurt,8,1966-12-03
15272,Lou Rawls,73,You Can Bring Me All Your Heartaches,8,1966-12-03
15273,Baja Marimba Band,74,Ghost Riders In The Sky,6,1966-12-03
15274,B.B. King,75,Don't Answer The Door - Part 1,9,1966-12-03
15275,Barbara Lewis,76,Baby What Do You Want Me To Do,6,1966-12-03
15276,The Yardbirds,77,Happenings Ten Years Time Ago,9,1966-12-03
15277,Aaron Neville,78,Tell It Like It Is,14,1966-12-03
15278,Ray Charles and his Orchestra,79,I Don't Need No Doctor,4,1966-12-03
15279,Alvin Cash & The Registers,80,Alvin's Boo-Ga-Loo,6,1966-12-03
15280,The Mamas & The Papas,81,Words Of Love,12,1966-12-03
15281,The Seekers,82,Georgy Girl,16,1966-12-03
15282,Herman's Hermits,83,East West,8,1966-12-03
15283,Jimmy Ruffin,84,I've Passed This Way Before,11,1966-12-03
15284,Otis Redding,85,Try A Little Tenderness,10,1966-12-03
15285,The Cyrkle,86,Please Don't Ever Leave Me,5,1966-12-03
15286,The Cryan' Shames,87,I Wanna Meet You,4,1966-12-03
15287,Paul Revere & The Raiders Featuring Mark Lindsay,88,Good Thing,12,1966-12-03
15288,Eric Burdon & The Animals,89,Help Me Girl,9,1966-12-03
15289,The Innocence,90,There's Got To Be A Word!,8,1966-12-03
15290,Jay & The Americans,91,(He's) Raining In My Sunshine,4,1966-12-03
15291,Don Ho and the Aliis,92,Tiny Bubbles,17,1966-12-03
15292,Dee Dee Warwick,93,I'm Gonna Make You Love Me,3,1966-12-03
15293,Baby Ray,94,There's Something On Your Mind,6,1966-12-03
15294,The Emperor's,95,Karate,9,1966-12-03
15295,Sam & Dave,96,You Got Me Hummin',6,1966-12-03
15296,The Searchers,97,Have You Ever Loved Somebody,3,1966-12-03
15297,The Drifters,98,Baby What I Mean,7,1966-12-03
15298,The Platters,99,I'll Be Home,2,1966-12-03
15299,The Critters,100,Bad Misunderstanding,6,1966-12-03
15300,The Beach Boys,1,Good Vibrations,14,1966-12-10
15301,Donovan,2,Mellow Yellow,12,1966-12-10
15302,The New Vaudeville Band,3,Winchester Cathedral,15,1966-12-10
15303,Mitch Ryder And The Detroit Wheels,4,Devil With A Blue Dress On & Good Golly Miss Molly,16,1966-12-10
15304,The Supremes,5,You Keep Me Hangin' On,12,1966-12-10
15305,Peter And Gordon,6,Lady Godiva,14,1966-12-10
15306,The Hollies,7,Stop Stop Stop,10,1966-12-10
15307,Roger Williams,8,Born Free,21,1966-12-10
15308,Martha & The Vandellas,9,I'm Ready For Love,10,1966-12-10
15309,Frank Sinatra,10,That's Life,11,1966-12-10
15310,Jackie Wilson,11,Whispers (Gettin' Louder),12,1966-12-10
15311,James & Bobby Purify,12,I'm Your Puppet,14,1966-12-10
15312,Simon & Garfunkel,13,A Hazy Shade Of Winter,9,1966-12-10
15313,Stevie Wonder,14,A Place In The Sun,11,1966-12-10
15314,Johnny Rivers,15,Poor Side Of Town,15,1966-12-10
15315,Nancy Sinatra,16,Sugar Town,13,1966-12-10
15316,Neil Diamond,17,I Got The Feelin' (Oh No No),8,1966-12-10
15317,The Miracles,18,(Come 'Round Here) I'm The One You Need,9,1966-12-10
15318,The Temptations,19,(I Know) I'm Losing You,10,1966-12-10
15319,Brenda Lee,20,Coming On Strong,13,1966-12-10
15320,Percy Sledge,21,It Tears Me Up,11,1966-12-10
15321,J.J. Jackson,22,But It's Alright,23,1966-12-10
15322,Lee Dorsey,23,Holy Cow,9,1966-12-10
15323,Herb Alpert & The Tijuana Brass,24,Mame,8,1966-12-10
15324,Brian Hyland,25,"Run, Run, Look And See",9,1966-12-10
15325,Margaret Whiting,26,The Wheel Of Hurt,11,1966-12-10
15326,The Monkees,27,Last Train To Clarksville,15,1966-12-10
15327,Eddie Floyd,28,Knock On Wood,17,1966-12-10
15328,Jimmy Ruffin,29,What Becomes Of The Brokenhearted,17,1966-12-10
15329,The Lovin' Spoonful,30,Rain On The Roof,10,1966-12-10
15330,Sandy Posey,31,Single Girl,12,1966-12-10
15331,Tommy James And The Shondells,32,It's Only Love,9,1966-12-10
15332,? (Question Mark) & The Mysterians,33,I Need Somebody,10,1966-12-10
15333,Wilson Pickett,34,Mustang Sally,9,1966-12-10
15334,Ronnie Dove,35,Cry,9,1966-12-10
15335,Chris Montez,36,Time After Time,8,1966-12-10
15336,The Music Machine,37,Talk Talk,12,1966-12-10
15337,The Outsiders,38,Help Me Girl,10,1966-12-10
15338,The Chicago Loop,39,(When She Needs Good Lovin') She Comes To Me,7,1966-12-10
15339,Tommy Roe,40,Hooray For Hazel,13,1966-12-10
15340,? (Question Mark) & The Mysterians,41,96 Tears,15,1966-12-10
15341,Bobby Vinton,42,Coming Home Soldier,12,1966-12-10
15342,The Association,43,Pandora's Golden Heebie Jeebies,7,1966-12-10
15343,The Monkees,44,I'm A Believer,15,1966-12-10
15344,Eddie Fisher,45,Games That Lovers Play,9,1966-12-10
15345,The Mamas & The Papas,46,Words Of Love,12,1966-12-10
15346,Four Tops,47,Reach Out I'll Be There,15,1966-12-10
15347,Lou Rawls,48,Love Is A Hurtin' Thing,14,1966-12-10
15348,Herman's Hermits,49,Dandy,11,1966-12-10
15349,Gene Chandler,50,I Fooled You This Time,8,1966-12-10
15350,Aaron Neville,51,Tell It Like It Is,14,1966-12-10
15351,Pat Boone,52,"Wish You Were Here, Buddy",8,1966-12-10
15352,Jr. Walker & The All Stars,53,Money (That's What I Want) (Part 1),6,1966-12-10
15353,The Elgins,54,Heaven Must Have Sent You,8,1966-12-10
15354,The Arbors,55,A Symphony For Susan,10,1966-12-10
15355,Terry Knight and The Pack,56,I (Who Have Nothing),10,1966-12-10
15356,The Yardbirds,57,Happenings Ten Years Time Ago,9,1966-12-10
15357,Jimmy Ruffin,58,I've Passed This Way Before,11,1966-12-10
15358,Eric Burdon & The Animals,59,Help Me Girl,9,1966-12-10
15359,Herman's Hermits,60,East West,8,1966-12-10
15360,The Cyrkle,61,Please Don't Ever Leave Me,5,1966-12-10
15361,Jack Jones,62,A Day In The Life Of A Fool,8,1966-12-10
15362,Dr. West's Medicine Show and Junk Band,63,The Eggplant That Ate Chicago,7,1966-12-10
15363,Ray Charles and his Orchestra,64,Please Say You're Fooling,6,1966-12-10
15364,The Joe Cuba Sextet,65,Bang Bang,8,1966-12-10
15365,Paul Revere & The Raiders Featuring Mark Lindsay,66,Good Thing,12,1966-12-10
15366,The Capitols,67,We Got A Thing That's In The Groove,6,1966-12-10
15367,Frankie Valli,68,The Proud One,6,1966-12-10
15368,The Innocence,69,There's Got To Be A Word!,8,1966-12-10
15369,Otis Redding,70,Try A Little Tenderness,10,1966-12-10
15370,Dana Rollin,71,Winchester Cathedral,6,1966-12-10
15371,B.B. King,72,Don't Answer The Door - Part 1,9,1966-12-10
15372,Lou Rawls,73,You Can Bring Me All Your Heartaches,8,1966-12-10
15373,Baja Marimba Band,74,Ghost Riders In The Sky,6,1966-12-10
15374,The Five Stairsteps,75,Come Back,6,1966-12-10
15375,Ray Charles and his Orchestra,76,I Don't Need No Doctor,4,1966-12-10
15376,The Critters,77,Bad Misunderstanding,6,1966-12-10
15377,Alvin Cash & The Registers,78,Alvin's Boo-Ga-Loo,6,1966-12-10
15378,The Seekers,79,Georgy Girl,16,1966-12-10
15379,Bobby Goldsboro,80,Blue Autumn,9,1966-12-10
15380,The Happenings,81,Goodnight My Love,6,1966-12-10
15381,Roy Orbison,82,Communication Breakdown,7,1966-12-10
15382,The Drifters,83,Baby What I Mean,7,1966-12-10
15383,Bobby Darin,84,The Girl That Stood Beside Me,5,1966-12-10
15384,The Cryan' Shames,85,I Wanna Meet You,4,1966-12-10
15385,Baby Ray,86,There's Something On Your Mind,6,1966-12-10
15386,Don Ho and the Aliis,87,Tiny Bubbles,17,1966-12-10
15387,Dee Dee Warwick,88,I'm Gonna Make You Love Me,3,1966-12-10
15388,Blues Magoos,89,(We Ain't Got) Nothin' Yet,14,1966-12-10
15389,Keith,90,98.6,14,1966-12-10
15390,Jay & The Americans,91,(He's) Raining In My Sunshine,4,1966-12-10
15391,The 4 Seasons Featuring the Sound of Frankie Valli,92,Tell It To The Rain,10,1966-12-10
15392,The Emperor's,93,Karate,9,1966-12-10
15393,The Searchers,94,Have You Ever Loved Somebody,3,1966-12-10
15394,Sam & Dave,95,You Got Me Hummin',6,1966-12-10
15395,The In Crowd,96,Questions And Answers,2,1966-12-10
15396,The Platters,97,I'll Be Home,2,1966-12-10
15397,The Electric Prunes,98,I Had Too Much To Dream (Last Night),14,1966-12-10
15398,Damita Jo,99,If You Go Away,10,1966-12-10
15399,Bobby McClure,100,Peak Of Love,2,1966-12-10
15400,The New Vaudeville Band,1,Winchester Cathedral,15,1966-12-17
15401,Donovan,2,Mellow Yellow,12,1966-12-17
15402,The Beach Boys,3,Good Vibrations,14,1966-12-17
15403,Mitch Ryder And The Detroit Wheels,4,Devil With A Blue Dress On & Good Golly Miss Molly,16,1966-12-17
15404,The Supremes,5,You Keep Me Hangin' On,12,1966-12-17
15405,Frank Sinatra,6,That's Life,11,1966-12-17
15406,Roger Williams,7,Born Free,21,1966-12-17
15407,The Monkees,8,I'm A Believer,15,1966-12-17
15408,Nancy Sinatra,9,Sugar Town,13,1966-12-17
15409,Stevie Wonder,10,A Place In The Sun,11,1966-12-17
15410,Jackie Wilson,11,Whispers (Gettin' Louder),12,1966-12-17
15411,The Temptations,12,(I Know) I'm Losing You,10,1966-12-17
15412,Peter And Gordon,13,Lady Godiva,14,1966-12-17
15413,Martha & The Vandellas,14,I'm Ready For Love,10,1966-12-17
15414,Simon & Garfunkel,15,A Hazy Shade Of Winter,9,1966-12-17
15415,Neil Diamond,16,I Got The Feelin' (Oh No No),8,1966-12-17
15416,The Miracles,17,(Come 'Round Here) I'm The One You Need,9,1966-12-17
15417,The Hollies,18,Stop Stop Stop,10,1966-12-17
15418,Herb Alpert & The Tijuana Brass,19,Mame,8,1966-12-17
15419,Percy Sledge,20,It Tears Me Up,11,1966-12-17
15420,James & Bobby Purify,21,I'm Your Puppet,14,1966-12-17
15421,Johnny Rivers,22,Poor Side Of Town,15,1966-12-17
15422,Sandy Posey,23,Single Girl,12,1966-12-17
15423,The Music Machine,24,Talk Talk,12,1966-12-17
15424,Aaron Neville,25,Tell It Like It Is,14,1966-12-17
15425,Ronnie Dove,26,Cry,9,1966-12-17
15426,? (Question Mark) & The Mysterians,27,I Need Somebody,10,1966-12-17
15427,Eddie Floyd,28,Knock On Wood,17,1966-12-17
15428,Wilson Pickett,29,Mustang Sally,9,1966-12-17
15429,The Royal Guardsmen,30,Snoopy Vs. The Red Baron,12,1966-12-17
15430,Tommy James And The Shondells,31,It's Only Love,9,1966-12-17
15431,Bobby Vinton,32,Coming Home Soldier,12,1966-12-17
15432,Brenda Lee,33,Coming On Strong,13,1966-12-17
15433,J.J. Jackson,34,But It's Alright,23,1966-12-17
15434,Paul Revere & The Raiders Featuring Mark Lindsay,35,Good Thing,12,1966-12-17
15435,The Mamas & The Papas,36,Words Of Love,12,1966-12-17
15436,The Outsiders,37,Help Me Girl,10,1966-12-17
15437,Lee Dorsey,38,Holy Cow,9,1966-12-17
15438,The Association,39,Pandora's Golden Heebie Jeebies,7,1966-12-17
15439,Margaret Whiting,40,The Wheel Of Hurt,11,1966-12-17
15440,Herman's Hermits,41,East West,8,1966-12-17
15441,Brian Hyland,42,"Run, Run, Look And See",9,1966-12-17
15442,The Monkees,43,Last Train To Clarksville,15,1966-12-17
15443,The Lovin' Spoonful,44,Rain On The Roof,10,1966-12-17
15444,Eddie Fisher,45,Games That Lovers Play,9,1966-12-17
15445,Jimmy Ruffin,46,I've Passed This Way Before,11,1966-12-17
15446,The Yardbirds,47,Happenings Ten Years Time Ago,9,1966-12-17
15447,Gene Chandler,48,I Fooled You This Time,8,1966-12-17
15448,Eric Burdon & The Animals,49,Help Me Girl,9,1966-12-17
15449,Chris Montez,50,Time After Time,8,1966-12-17
15450,Terry Knight and The Pack,51,I (Who Have Nothing),10,1966-12-17
15451,Jr. Walker & The All Stars,52,Money (That's What I Want) (Part 1),6,1966-12-17
15452,Dr. West's Medicine Show and Junk Band,53,The Eggplant That Ate Chicago,7,1966-12-17
15453,The Chicago Loop,54,(When She Needs Good Lovin') She Comes To Me,7,1966-12-17
15454,The Innocence,55,There's Got To Be A Word!,8,1966-12-17
15455,Otis Redding,56,Try A Little Tenderness,10,1966-12-17
15456,Baja Marimba Band,57,Ghost Riders In The Sky,6,1966-12-17
15457,The 4 Seasons Featuring the Sound of Frankie Valli,58,Tell It To The Rain,10,1966-12-17
15458,The Seekers,59,Georgy Girl,16,1966-12-17
15459,The Arbors,60,A Symphony For Susan,10,1966-12-17
15460,The Cyrkle,61,Please Don't Ever Leave Me,5,1966-12-17
15461,Four Tops,62,Standing In The Shadows Of Love,10,1966-12-17
15462,Bobby Goldsboro,63,Blue Autumn,9,1966-12-17
15463,The Critters,64,Bad Misunderstanding,6,1966-12-17
15464,Jack Jones,65,A Day In The Life Of A Fool,8,1966-12-17
15465,The Happenings,66,Goodnight My Love,6,1966-12-17
15466,Ray Charles and his Orchestra,67,Please Say You're Fooling,6,1966-12-17
15467,Lou Rawls,68,You Can Bring Me All Your Heartaches,8,1966-12-17
15468,Frankie Valli,69,The Proud One,6,1966-12-17
15469,The Capitols,70,We Got A Thing That's In The Groove,6,1966-12-17
15470,The Drifters,71,Baby What I Mean,7,1966-12-17
15471,Ray Charles and his Orchestra,72,I Don't Need No Doctor,4,1966-12-17
15472,Keith,73,98.6,14,1966-12-17
15473,Blues Magoos,74,(We Ain't Got) Nothin' Yet,14,1966-12-17
15474,Bobby Darin,75,The Girl That Stood Beside Me,5,1966-12-17
15475,Alvin Cash & The Registers,76,Alvin's Boo-Ga-Loo,6,1966-12-17
15476,The Monkees,77,(I'm Not Your) Steppin' Stone,8,1966-12-17
15477,Baby Ray,78,There's Something On Your Mind,6,1966-12-17
15478,Roy Orbison,79,Communication Breakdown,7,1966-12-17
15479,B.B. King,80,Don't Answer The Door - Part 1,9,1966-12-17
15480,The Electric Prunes,81,I Had Too Much To Dream (Last Night),14,1966-12-17
15481,Sam & Dave,82,You Got Me Hummin',6,1966-12-17
15482,Joe Tex,83,Papa Was Too,7,1966-12-17
15483,The Emperor's,84,Karate,9,1966-12-17
15484,The Cryan' Shames,85,I Wanna Meet You,4,1966-12-17
15485,The Lovin' Spoonful,86,Nashville Cats,10,1966-12-17
15486,Gary Lewis And The Playboys,87,Where Will The Words Come From,9,1966-12-17
15487,The Artistics,88,I'm Gonna Miss You,10,1966-12-17
15488,Damita Jo,89,If You Go Away,10,1966-12-17
15489,Jay & The Americans,90,(He's) Raining In My Sunshine,4,1966-12-17
15490,The Young Holt Trio,91,Wack Wack,8,1966-12-17
15491,The In Crowd,92,Questions And Answers,2,1966-12-17
15492,Dean Martin,93,(Open Up The Door) Let The Good Times In,6,1966-12-17
15493,The Mamas & The Papas,94,Dancing In The Street,6,1966-12-17
15494,The Youngbloods,95,Grizzly Bear,10,1966-12-17
15495,Los Bravos,96,Going Nowhere,2,1966-12-17
15496,Bobby McClure,97,Peak Of Love,2,1966-12-17
15497,Pozo Seco Singers,98,Look What You've Done,9,1966-12-17
15498,Spyder Turner,99,Stand By Me,12,1966-12-17
15499,Bobby Moore's Rhythm Aces featuring Chico,100,Try My Love Again,2,1966-12-17
15500,The New Vaudeville Band,1,Winchester Cathedral,15,1966-12-24
15501,Donovan,2,Mellow Yellow,12,1966-12-24
15502,The Monkees,3,I'm A Believer,15,1966-12-24
15503,Frank Sinatra,4,That's Life,11,1966-12-24
15504,Mitch Ryder And The Detroit Wheels,5,Devil With A Blue Dress On & Good Golly Miss Molly,16,1966-12-24
15505,Nancy Sinatra,6,Sugar Town,13,1966-12-24
15506,The Royal Guardsmen,7,Snoopy Vs. The Red Baron,12,1966-12-24
15507,The Beach Boys,8,Good Vibrations,14,1966-12-24
15508,Stevie Wonder,9,A Place In The Sun,11,1966-12-24
15509,The Temptations,10,(I Know) I'm Losing You,10,1966-12-24
15510,The Supremes,11,You Keep Me Hangin' On,12,1966-12-24
15511,Roger Williams,12,Born Free,21,1966-12-24
15512,Jackie Wilson,13,Whispers (Gettin' Louder),12,1966-12-24
15513,Aaron Neville,14,Tell It Like It Is,14,1966-12-24
15514,Peter And Gordon,15,Lady Godiva,14,1966-12-24
15515,Neil Diamond,16,I Got The Feelin' (Oh No No),8,1966-12-24
15516,Sandy Posey,17,Single Girl,12,1966-12-24
15517,Ronnie Dove,18,Cry,9,1966-12-24
15518,Herb Alpert & The Tijuana Brass,19,Mame,8,1966-12-24
15519,Bobby Vinton,20,Coming Home Soldier,12,1966-12-24
15520,The Music Machine,21,Talk Talk,12,1966-12-24
15521,? (Question Mark) & The Mysterians,22,I Need Somebody,10,1966-12-24
15522,Wilson Pickett,23,Mustang Sally,9,1966-12-24
15523,The Mamas & The Papas,24,Words Of Love,12,1966-12-24
15524,Martha & The Vandellas,25,I'm Ready For Love,10,1966-12-24
15525,The Hollies,26,Stop Stop Stop,10,1966-12-24
15526,Paul Revere & The Raiders Featuring Mark Lindsay,27,Good Thing,12,1966-12-24
15527,Simon & Garfunkel,28,A Hazy Shade Of Winter,9,1966-12-24
15528,Herman's Hermits,29,East West,8,1966-12-24
15529,The Miracles,30,(Come 'Round Here) I'm The One You Need,9,1966-12-24
15530,The 4 Seasons Featuring the Sound of Frankie Valli,31,Tell It To The Rain,10,1966-12-24
15531,Tommy James And The Shondells,32,It's Only Love,9,1966-12-24
15532,Jimmy Ruffin,33,I've Passed This Way Before,11,1966-12-24
15533,Eddie Floyd,34,Knock On Wood,17,1966-12-24
15534,The Association,35,Pandora's Golden Heebie Jeebies,7,1966-12-24
15535,James & Bobby Purify,36,I'm Your Puppet,14,1966-12-24
15536,Percy Sledge,37,It Tears Me Up,11,1966-12-24
15537,Four Tops,38,Standing In The Shadows Of Love,10,1966-12-24
15538,Johnny Rivers,39,Poor Side Of Town,15,1966-12-24
15539,The Yardbirds,40,Happenings Ten Years Time Ago,9,1966-12-24
15540,Eric Burdon & The Animals,41,Help Me Girl,9,1966-12-24
15541,J.J. Jackson,42,But It's Alright,23,1966-12-24
15542,The Outsiders,43,Help Me Girl,10,1966-12-24
15543,Brenda Lee,44,Coming On Strong,13,1966-12-24
15544,The Lovin' Spoonful,45,Nashville Cats,10,1966-12-24
15545,Otis Redding,46,Try A Little Tenderness,10,1966-12-24
15546,Eddie Fisher,47,Games That Lovers Play,9,1966-12-24
15547,The Monkees,48,(I'm Not Your) Steppin' Stone,8,1966-12-24
15548,Gene Chandler,49,I Fooled You This Time,8,1966-12-24
15549,The Seekers,50,Georgy Girl,16,1966-12-24
15550,Terry Knight and The Pack,51,I (Who Have Nothing),10,1966-12-24
15551,Baja Marimba Band,52,Ghost Riders In The Sky,6,1966-12-24
15552,Dr. West's Medicine Show and Junk Band,53,The Eggplant That Ate Chicago,7,1966-12-24
15553,Bobby Goldsboro,54,Blue Autumn,9,1966-12-24
15554,The Innocence,55,There's Got To Be A Word!,8,1966-12-24
15555,The Happenings,56,Goodnight My Love,6,1966-12-24
15556,Keith,57,98.6,14,1966-12-24
15557,The Critters,58,Bad Misunderstanding,6,1966-12-24
15558,The Cyrkle,59,Please Don't Ever Leave Me,5,1966-12-24
