,artist,rank,song,stay,week
166,Dale Ward,67,Letter From Sherry,11,1964-01-11
167,Ginny Arnell,68,Dumb Head,12,1964-01-11
168,Anna King,69,If Somebody Told You,6,1964-01-11
169,Bob And Earl,70,Harlem Shuffle,11,1964-01-11
170,Frank Ifield,71,Please,6,1964-01-11
171,Patti LaBelle And The Blue Belles,72,You'll Never Walk Alone,8,1964-01-11
172,Barbara Lewis,73,Snap Your Fingers,5,1964-01-11
173,Fats Domino,74,Who Cares,5,1964-01-11
174,Sammy Davis Jr.,75,The Shelter Of Your Arms,17,1964-01-11
175,Jimmy Velvet,76,We Belong Together,7,1964-01-11
176,The Shirelles,77,Tonight You're Gonna Fall In Love With Me,5,1964-01-11
177,Al (He's the King) Hirt,78,Java,16,1964-01-11
178,Gloria Lynne,79,I Wish You Love,12,1964-01-11
179,Jay & The Americans,80,Come Dance With Me,8,1964-01-11
180,Betty Everett,81,You're No Good,10,1964-01-11
181,Little Johnny Taylor,82,Since I Found A New Love,4,1964-01-11
182,Bobby Goldsboro,83,See The Funny Little Clown,13,1964-01-11
183,Barbara Lewis,84,Puppy Love,12,1964-01-11
184,Paul Petersen,85,The Cheer Leader,7,1964-01-11
185,The Cascades,86,For Your Sweet Love,3,1964-01-11
186,Lloyd Price,87,Billie Baby,3,1964-01-11
187,The Crescents Featuring Chiyo,88,Pink Dominos,10,1964-01-11
188,The Exciters,89,Do-Wah-Diddy,4,1964-01-11
189,Otis Redding,90,Pain In My Heart,11,1964-01-11
190,Bobby Bland,91,The Feeling Is Gone,3,1964-01-11
191,Betty Harris,92,His Kiss,4,1964-01-11
192,Clyde McPhatter,93,Deep In The Heart Of Harlem,5,1964-01-11
193,Gene Thomas,94,Baby's Gone,5,1964-01-11
194,Pete Seeger,95,Little Boxes,8,1964-01-11
195,Johnny Crawford,96,Judy Loves Me,3,1964-01-11
196,Duane Eddy,97,The Son Of Rebel Rouser,2,1964-01-11
197,The Pixies Three,98,Cold Cold Winter,5,1964-01-11
198,Maxine Brown,99,Coming Back To You,2,1964-01-11
199,The Sapphires,100,Who Do You Love,12,1964-01-11
200,Bobby Vinton,1,There! I've Said It Again,13,1964-01-18
201,The Kingsmen,2,Louie Louie,18,1964-01-18
202,The Murmaids,3,Popsicles And Icicles,14,1964-01-18
203,Bobby Rydell,4,Forget Him,16,1964-01-18
204,The Trashmen,5,Surfin' Bird,13,1964-01-18
205,The Singing Nun (Soeur Sourire),6,Dominique,13,1964-01-18
206,The Rip Chords,7,Hey Little Cobra,14,1964-01-18
207,Shirley Ellis,8,The Nitty Gritty,14,1964-01-18
208,The Marketts,9,Out Of Limits,14,1964-01-18
209,Jan & Dean,10,Drag City,11,1964-01-18
210,Nino Tempo & April Stevens,11,Whispering,9,1964-01-18
211,Brenda Lee,12,As Usual,11,1964-01-18
212,Lenny Welch,13,Since I Fell For You,16,1964-01-18
213,Major Lance,14,"Um, Um, Um, Um, Um, Um",11,1964-01-18
214,Joey Powers,15,Midnight Mary,13,1964-01-18
215,Johnny Tillotson,16,Talk Back Trembling Lips,13,1964-01-18
216,Dionne Warwick,17,Anyone Who Had A Heart,14,1964-01-18
217,Lesley Gore,18,You Don't Own Me,13,1964-01-18
218,Rick Nelson,19,For You,11,1964-01-18
219,Ray Charles,20,That Lucky Old Sun,9,1964-01-18
220,Martha & The Vandellas,21,Quicksand,12,1964-01-18
221,Jack Jones,22,Wives And Lovers,14,1964-01-18
222,Jimmy Gilmer And The Fireballs,23,Daisy Petal Pickin',11,1964-01-18
223,The Tymes,24,Somewhere,11,1964-01-18
224,The Supremes,25,When The Lovelight Starts Shining Through His Eyes,11,1964-01-18
225,Roy Orbison,26,Pretty Paper,7,1964-01-18
226,The Caravelles,27,You Don't Have To Be A Baby To Cry,13,1964-01-18
227,The Ronettes,28,"Baby, I Love You",9,1964-01-18
228,Dion Di Muci,29,Drip Drop,11,1964-01-18
229,Chubby Checker,30,Hooka Tooka,14,1964-01-18
230,Jerry Butler,31,Need To Belong,11,1964-01-18
231,Marvin Gaye,32,Can I Get A Witness,16,1964-01-18
232,Trini Lopez,33,Kansas City,10,1964-01-18
233,The Cookies,34,Girls Grow Up Faster Than Boys,11,1964-01-18
234,Dean And Jean,35,Tra La La La Suzy,13,1964-01-18
235,Chubby Checker,36,Loddy Lo,13,1964-01-18
236,Garnet Mimms & The Enchanters,37,For Your Precious Love,9,1964-01-18
237,The Miracles,38,I Gotta Dance To Keep From Crying,10,1964-01-18
238,The Tams,39,What Kind Of Fool (Do You Think I Am),14,1964-01-18
239,Cliff Richard,40,It's All In The Game,13,1964-01-18
240,Dick and DeeDee,41,Turn Around,9,1964-01-18
241,Henry Mancini And His Orchestra,42,Charade,11,1964-01-18
242,The Chad Mitchell Trio,43,The Marvelous Toy,9,1964-01-18
243,Steve & Eydie,44,I Can't Stop Talking About You,9,1964-01-18
244,The Beatles,45,I Want To Hold Your Hand,15,1964-01-18
245,The Beach Boys,46,Be True To Your School,12,1964-01-18
246,Mary Wells,47,What's Easy For Two Is So Hard For One,17,1964-01-18
247,Andy Williams,48,A Fool Never Learns,10,1964-01-18
248,Connie Francis,49,In The Summer Of His Years,6,1964-01-18
249,The Impressions,50,Talking About My Baby,9,1964-01-18
250,Dale Ward,51,Letter From Sherry,11,1964-01-18
251,The Chiffons,52,I Have A Boyfriend,10,1964-01-18
252,Al (He's the King) Hirt,53,Java,16,1964-01-18
253,Rick Nelson,54,Today's Teardrops,9,1964-01-18
254,The Baja Marimba Band,55,Comin' In The Back Door,9,1964-01-18
255,The Girlfriends,56,"My One And Only, Jimmy Boy",7,1964-01-18
256,The Orlons,57,Bon-Doo-Wah,6,1964-01-18
257,Tony Bennett,58,The Little Boy,9,1964-01-18
